ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Cluster,PCA1,PCA2
462809,1,0,22,0,5,1.0,2,4.0,0,2.2477070063057614,1.3769267173743311
462643,0,1,38,1,2,1.0,0,3.0,2,-1.3914643370220416,-0.16826251218620308
466315,0,1,67,1,2,1.0,2,1.0,1,-1.296849661130096,-1.3821175281353304
461735,1,1,67,1,7,0.0,1,2.0,1,-1.5439877184648156,0.8132870985731512
462669,0,1,40,1,3,1.0,1,6.0,2,-0.467383968782696,0.8158563099382146
461319,1,1,56,0,0,0.0,0,2.0,2,-1.7247677392901988,1.0360354351121686
460156,1,0,32,1,5,1.0,2,3.0,0,1.2035599718994618,0.026508299274284414
464347,0,0,33,1,5,1.0,2,3.0,3,1.320856002794553,-0.698604821817464
465015,0,1,61,1,2,0.0,2,3.0,3,-0.9479413845582533,-0.5641697905365602
465176,0,1,55,1,0,1.0,0,4.0,2,-1.9376939415052696,-0.05739465180065921
464041,0,0,26,1,2,1.0,2,3.0,3,1.278939495899101,-1.1544427060981886
464942,1,0,19,0,5,4.0,2,4.0,0,2.459026548292672,1.0844426630576165
461230,0,0,19,0,4,0.0,2,3.0,0,2.249291099053179,0.22377333955526774
459573,1,1,70,0,7,1.0,2,1.0,1,-0.47606541580629197,1.0903892600043406
460849,0,1,58,0,1,0.0,2,1.0,1,-0.5130422460310732,-0.4489049448766195
460563,0,0,41,0,5,1.0,2,2.0,0,1.6274740147489248,-0.04480372839479791
466865,0,0,32,0,6,9.0,2,5.0,0,2.62668747186827,0.4233936721305826
461644,1,0,31,0,5,1.0,2,6.0,0,2.204246550495852,2.1320499202359984
466772,1,1,58,1,3,1.0,0,4.0,2,-1.9262968568091479,1.1170557004402262
464291,0,1,79,1,0,0.0,1,1.0,1,-2.423562879136956,-1.2840302012637232
466084,1,1,49,1,6,12.0,2,1.0,3,-0.13989380665649206,-1.1548876542809008
459675,0,0,18,0,5,3.0,2,4.0,0,2.5926593405545573,0.45032357360651754
465602,1,1,33,1,0,13.0,2,2.0,3,-0.015926751747825162,-1.79841437025833
459168,0,0,36,1,0,5.0,2,2.0,3,0.8843765191501377,-2.175675481400083
461021,0,1,58,0,4,1.0,0,3.0,2,-1.1605879010327684,1.1731316112564976
465083,1,1,56,0,0,1.0,0,3.0,2,-1.5748187430544676,1.3085182564505804
467604,1,0,31,0,5,9.0,2,8.0,0,2.753230409549597,2.1050487605425716
459717,1,1,49,1,0,1.0,0,3.0,2,-2.018796976379442,0.2890734256716568
465882,1,0,35,1,0,0.0,2,1.0,3,0.4510742476311255,-1.3417339800665797
461996,0,0,35,0,0,5.0,2,4.0,0,1.7766284126078442,-0.4379444821718219
463331,0,1,45,1,0,0.0,2,3.0,3,-0.6480629785267895,-0.8926197363319304
462216,0,1,42,0,1,1.0,2,2.0,3,0.09971532991538583,-0.2110922735733438
462454,1,0,19,0,5,1.0,2,3.0,0,2.2260489298628467,1.0026154425092886
467010,1,0,26,0,6,9.0,2,3.0,0,2.4371497518554137,0.40205112786944536
459861,0,1,83,0,7,1.0,1,2.0,1,-1.1726034330030655,1.0296260828828463
467917,0,0,27,1,5,3.0,2,4.0,0,1.6858725275188546,-0.5344511071372701
465572,1,0,32,0,1,5.0,2,1.0,3,1.4733444856001738,-0.6737070971547067
460593,0,1,28,0,5,1.0,0,5.0,2,0.00551264304184565,1.9906362212876416
465891,0,1,28,1,0,8.0,2,2.0,3,0.0673509410535531,-2.0598897956380466
467442,1,1,56,1,0,1.0,0,2.0,2,-2.3297104151415686,-0.06356900542142437
462044,0,0,47,1,0,4.0,2,1.0,3,0.4162466243632814,-2.424322574589339
465686,0,0,22,0,5,0.0,2,2.0,0,2.1355448920583666,0.009353268833520197
464590,0,0,27,1,0,14.0,2,3.0,3,1.6267698302495313,-2.6853170226167675
466006,0,1,49,1,0,1.0,2,2.0,3,-0.8306854974961082,-1.3470906209516407
466152,1,1,40,0,2,8.0,2,1.0,3,0.27497541463249375,-0.37636136347741694
463156,0,1,79,0,7,1.0,1,2.0,1,-1.056901288075383,1.0209585453740626
465729,1,1,41,1,0,0.0,0,4.0,2,-1.7204723124824426,0.7348767727825831
462384,0,0,29,1,5,1.0,2,1.0,3,1.219688777444868,-1.4428936027931538
462442,1,0,19,0,5,0.0,2,4.0,0,2.2929693039044827,1.4657538646377828
464191,0,0,45,1,2,1.0,2,1.0,3,0.5124849372152444,-1.8488931463983709
462078,0,1,61,0,0,1.0,0,2.0,2,-1.681659542225741,0.224262051134162
467873,0,1,36,1,0,1.0,0,2.0,2,-1.6049781233761475,-0.8341866984342884
461270,1,1,40,1,0,1.0,2,1.0,3,-0.8250119236745197,-1.0071231966109127
462960,0,1,57,1,3,0.0,0,2.0,2,-2.009533434824629,-0.2526846324777789
464961,1,1,76,0,8,1.0,2,1.0,1,-0.5681535463581829,1.2502804641476335
462110,1,1,32,1,0,14.0,0,2.0,2,-1.0958115013138634,-1.3548356356096674
465769,1,0,25,1,5,9.0,2,4.0,0,1.8465878994379665,-0.3834716727929662
462267,1,0,32,1,1,8.0,2,2.0,3,1.059865117081581,-1.596156516744929
465269,0,1,45,1,0,1.0,0,3.0,2,-1.7568732643247478,-0.44687411730607174
460881,1,1,72,1,7,1.0,2,3.0,1,-0.9635041049411842,0.8260676320870864
461891,1,1,48,1,0,0.0,0,2.0,2,-2.139820436383253,0.014423719956049465
466935,1,1,55,1,0,9.0,0,2.0,2,-1.968670390133271,-0.8283582929589529
464091,1,1,74,1,7,0.0,1,3.0,1,-1.6380317869495753,1.19626591094697
464535,1,1,56,1,7,1.0,1,2.0,1,-1.1842925088166432,0.6941235700289485
463108,1,1,59,1,7,7.0,1,2.0,1,-1.021983250930121,0.12865742079028744
461356,1,0,25,1,3,0.0,2,2.0,3,1.0931595556079101,-0.5549225084647336
464570,1,1,31,1,1,0.0,0,2.0,2,-1.5666212336009728,0.12447658342383575
464580,1,0,27,0,0,8.0,2,4.0,0,1.9863540686273373,-0.013982952905569244
465233,1,1,57,1,0,0.0,0,4.0,2,-2.183280892193169,0.7695469228177187
467208,0,1,39,1,6,1.0,1,2.0,1,-0.6278019125866143,-0.21688336773244524
459954,1,1,27,1,5,8.0,2,2.0,3,0.357380344356621,-0.60032718514571
460219,0,1,51,1,3,8.0,0,2.0,2,-1.503865728656728,-1.0283083419012868
460877,0,1,47,0,0,0.0,0,5.0,2,-0.9929122906598506,1.3926853354488182
460191,0,0,33,0,5,8.0,2,4.0,0,2.3663478525609865,0.0061878372892493995
463742,1,1,56,1,0,0.0,0,4.0,2,-2.154355355961249,0.7673800384405226
463691,0,0,33,0,6,0.0,2,3.0,0,2.0072637654855563,0.5478895165962462
463250,0,0,36,1,1,0.0,2,2.0,3,0.758270050504533,-1.552146581544758
463952,1,1,51,0,0,4.0,2,3.0,3,-0.15532353170871716,0.47062701395857537
461558,1,1,45,1,2,2.0,0,2.0,2,-1.807085031814133,0.11104726179461373
466567,0,0,49,1,0,1.0,2,1.0,3,0.23385261860829853,-2.1340054046498222
465379,1,0,30,0,5,0.0,2,4.0,0,1.9747884053533578,1.4895895927869383
463814,0,0,26,0,5,6.0,2,3.0,0,2.377363298851652,-0.18613537429449215
466938,1,1,63,1,0,8.0,2,1.0,3,-1.1996990793293598,-1.6245794587006963
460671,1,1,35,0,3,8.0,0,4.0,2,-0.3239523588472268,1.4041993971379794
462204,0,0,19,0,8,1.0,2,3.0,0,2.616665757508755,0.7160051306806963
461671,1,0,32,0,5,7.0,2,5.0,0,2.315972195707531,1.1944393805094926
459384,1,1,52,1,0,0.0,0,3.0,2,-2.147087896172251,0.3909018791982863
459905,0,1,36,1,0,5.0,2,2.0,3,-0.2885962820929525,-1.756571319435355
464734,0,0,42,0,3,7.0,2,3.0,0,1.7931388565587072,-0.540572820414633
464125,1,1,40,0,1,0.0,0,2.0,2,-1.1804940727398388,1.1482551829571501
467434,1,0,39,1,3,0.0,2,3.0,3,0.7966367334997069,-0.15677550545053714
460956,0,1,47,1,0,1.0,0,4.0,2,-1.7062896516499049,-0.07472972681822702
465179,0,1,61,1,0,1.0,1,2.0,2,-1.7529542307266563,-1.0505512987148393
463338,1,1,32,0,3,1.0,2,2.0,0,0.4056792987868422,0.7882986838838767
467066,1,1,55,0,0,0.0,2,1.0,3,-0.6539522913019556,0.12498450958061955
463845,1,1,58,1,0,1.0,0,1.0,2,-2.4959961727440945,-0.42704585840048537
459976,0,0,38,1,0,0.0,2,1.0,3,0.5105192060623766,-2.062513332403936
461334,1,1,63,1,0,0.0,1,2.0,2,-1.9985411814145575,-0.22360972409646113
465108,1,1,58,1,1,1.0,0,2.0,2,-2.3060964007657785,0.08765466121308525
462600,1,1,30,0,2,3.0,0,3.0,2,-0.5767960051511765,1.3553034576136374
464144,1,1,60,1,0,0.0,0,4.0,2,-2.2700575008889317,0.7760475759493066
466911,1,1,68,0,4,1.0,1,7.0,2,-0.5871637914767476,3.1227862377207622
462806,1,1,52,0,0,0.0,2,3.0,2,-0.35030631232882686,0.8541050999159376
463426,1,1,38,0,4,0.0,1,5.0,0,0.022218614106452095,2.41748626333302
